3839,"morggkatherinee","Hi 👋 I'm such a big fan ❤️"
61664,"morggkatherinee","I meant yas"
3842,"morggkatherinee","Hi I'm like your best fan"
3859,"morggkatherinee","Okay"
3836,"morggkatherinee","Ok "
3864,"morggkatherinee","Yae"
3834,"morggkatherinee","Hey"
3847,"morggkatherinee","Ok"
3851,"morggkatherinee","Ya"
3854,"morggkatherinee","I love you so much 💗💗❤️☺️"
3850,"morggkatherinee","Can you follow me on social media!? I love you!!"
3863,"morggkatherinee","Bot*^"
3843,"morggkatherinee","Hi Morgan "
3855,"morggkatherinee","Ok"
3844,"morggkatherinee","OMG I love you so much 💗"
3825,"morggkatherinee","Snapchat"
3857,"morggkatherinee","hi"
3862,"morggkatherinee","Omg yes☺️💗"
3845,"morggkatherinee","I'm such a fan"
3861,"morggkatherinee","OMG IM SUCH A FAN 💖💖💖💖 please text me back I would me so much to me 💓💓💓💓💓✌️"
3838,"morggkatherinee","Jealous "
3848,"morggkatherinee","So I text u from that number"
3837,"morggkatherinee","Hey is this Morgan on musicaly"
3852,"morggkatherinee","I'm going to to a duet with you😘😘  My musically name is @babykaylie"
3858,"morggkatherinee","Please answer"
3841,"morggkatherinee","Ur welcome"
61665,"morggkatherinee","Thanks💕"
3853,"morggkatherinee","Hi 😃😃😃💕💕💕"
3856,"morggkatherinee","Yea are u the real Morgan"
3872,"morggkatherinee","Heyy💎😘"
3868,"morggkatherinee","Yes can you follow me on social media I love you!"
3865,"morggkatherinee","Hey Morgan! Ilysm your musicallys slay and your so pretty "
3880,"morggkatherinee","Okay"
3882,"morggkatherinee","Hey"
3887,"morggkatherinee","Yess!!💋"
3890,"morggkatherinee","hi I just wanted to say that I love the musical.lys you make and that you are gorgeous😍❤️"
3867,"morggkatherinee","yeah "
3871,"morggkatherinee","Okay !"
3877,"morggkatherinee","Hi is this Moran Katherine?"
3894,"morggkatherinee","Hi it's Mackenzie I love ur musicallys "
3866,"morggkatherinee","Hey Morgan!"
3886,"morggkatherinee","I love your musicalys and i think u super pretty!!! Luv uuuu!😘💗💗✌🏻️"
3878,"morggkatherinee","Yes "
3893,"morggkatherinee","Is this u everyone is saying u r hacked"
3876,"morggkatherinee","Hiii you my idol i luv u so much"
3888,"morggkatherinee","Fake "
3879,"morggkatherinee","Sounds cool thank u !!!!💕"
3889,"morggkatherinee","Yeah"
3892,"morggkatherinee","Did you get hacked or is this really Morgan"
3891,"morggkatherinee","Yes! Thank you so much! I love you so much!"
